Kodas,Pavadinimas,Aprašas,"Pagrindinės užduotys","Būdingos kompetencijos"
311111,"Metrologas kontrolierius","Taiko praktines metrologijos žinias, kad galėtų kalibruoti matavimo prietaisus, bandymų įrangą ir analizuoti jų eksploatacines savybes. Kontroliuoja ir užtikrina, kad įvertinta įranga atitiktų preciziškumo, veikimo ir tikslumo reikalavimus. Rengia savo veiklos ataskaitas ir konsultuoja techniniais klausimais, susijusiais su matavimo priemonėmis.","• projektuoja ir kuria naujas kontrolės sistemas, testuoja naudojamas sistemas, jas prižiūri ir modifikuoja;• analizuoja duomenis, teikia ataskaitas, palaiko ryšius su klientais, tiekėjais, rangovais ir institucijų atstovais;• valdo projektus, planuoja jų išlaidas ir laiką, nustato kontroliuojamos įrangos gedimus ir sprendžia problemas;• užtikrina saugos reikalavimus, konsultuoja įmonės vadovus ir kitus techninius darbuotojus;• dalyvauja ir pataria perkant naują įrangą, kuria kompiuterių programinę įrangą ir ją išbando.","• kurti naujas kontrolės sistemas;• analizuoti duomenis;• valdyti projektus;• užtikrinti saugos reikalavimus;• teikti rekomendacijas perkant naują įrangą."
311190,"Kiti chemijos ir kitų fizinių mokslų technikai","Kiti chemijos ir kitų fizinių mokslų technikai, kurie nėra išvardyti 3111 pogrupyje „Chemijos ir kitų fizinių mokslų technikai“ ir kurie atlieka technines užduotis, susijusias su chemijos, fizikos, geologijos, geofizikos, meteorologijos ir astronomijos tyrimais ir rezultatų taikymo pramonės, medicinos, karybos ir kitose srityse plėtra.","• atrenka ėminius, parengia eksperimentams ir tyrimams medžiagas bei įrenginius; • atlieka įprastinius laboratorinius bandymus ir teikia įvairią techninę pagalbą chemikams ir fizikams, atliekantiems mokslo tiriamuosius darbus, eksperimentus, analizę ir bandymus;• kontroliuoja laboratorijos įrenginių ir medžiagų kokybę bei kiekį, tikrina ėminius ir prižiūri naudojimą, pagal pateiktą techninių sąlygų aprašą apskaičiuoja reikiamus medžiagų kiekius; • įrengia laboratorijos prietaisus, valdo ir prižiūri, stebi eksperimentus ir rezultatus, juos skaičiuoja ir registruoja; • parengia medžiagas eksperimentams, maišo chemines medžiagas.","• atrinkti ėminius;• teikti įvairią techninę pagalbą;• kontroliuoti laboratorijos įrenginių ir medžiagų kokybę;• stebėti eksperimentus;• parengti medžiagas eksperimentams."
311201,"Statybos inžinerijos vertintojas","Užtikrina projektų, užduočių ir kokybės techninių ir inžinerijos bylų administravimą ir stebėseną. Atlieka eksperimentus, dalyvauja vizituose vietoje ir administruoja informacijos rinkimą, susijusį su statybos darbu, pastatų, vandentiekio ir kanalizacijos sistemų projektavimu, statyba ir eksploatavimu, technine priežiūra ir remontu.","• žvalgo pastatus bei statybvietes ir rengia žvalgymo ataskaitas;• tikrina patvirtintus statybos planus, projekto techninių sąlygų aprašą, susijusius teisės aktus ir reglamentuojamųjų dokumentų atitiktį;• skaičiuoja reikiamų medžiagų kiekį ir darbo sąnaudas, atlieka techninę statybos priežiūrą;• kontroliuoja naudojamas medžiagas, prižiūri, kad statybos vyktų pagal projektą, ir šią atitiktį vertina;• skaičiuoja faktiškai atliktų darbų kiekius, kontroliuoja darbų kokybę ir įgyvendinimo kontrolę, tikrina pastatus ir kitus statinius, nustato ir pašalina gaisro pavojų.","• žvalgyti pastatus ir statybvietes;• tikrinti patvirtintus statybos planus;• atlikti techninę statybos priežiūrą;• skaičiuoti reikiamų medžiagų kiekį;• kontroliuoti naudojamas medžiagas."
311202,"Statybos inžinerijos technikas","Rengia ir vykdo statybos planus ir imasi organizacinių užduočių, planuoja ir stebi statybos darbus, teikia pasiūlymus ir išrašo sąskaitas už statybos darbus. Apskaičiuoja esminius reikalavimus, randa ir įsigyja statybines medžiagas, užtikrina jų kokybę, rengia ir konsultuoja dėl statybos įgyvendinimo strategijų.","• taiko atitinkamas sveikatos ir darbo saugos reikalavimų laikymosi procedūras, atlieka statybos darbus, išvengia nelaimingų atsitikimų, taršos ir kitų pavojų;• naudoja dronų technologijas įvairiais tikslais, sudaro topografinius žemėlapius pastatų ir žemės matavimo, nuotolinės stebėsenos, šiluminio vaizdo įrašymo tikslais;• naudoja specializuotą programinę įrangą, rengia techninius projektus ir techninius brėžinius;• registruoja darbo eigą, laiką, defektus, trūkumus;• apžvelgia visas užduotis, nustato prioritetines užduotis, planuoja jų vykdymą ir įtraukia naujai paskirtas užduotis.","• laikytis sveikatos ir darbo saugos reikalavimų, atliekant statybos darbus;• naudoti dronus civilinės inžinerijos srityje;• naudoti techninių brėžinių rengimo programinę įrangą;• registruoti darbo eigą;• tvarkyti užduočių tvarkaraštį."
311203,"Hidrologijos technikas","Stebi dirvos drėgmės ir vidaus vandenų būklę, atlieka vandens lygio ir temperatūros matavimus, sudaro hidrologines prognozes.","• stebi vandens savybes, dėsnius ir reiškinius, vandens fizikinius, cheminius ir fiziologinius ryšius;• įvertina vandens cirkuliacijos poveikį žmogaus gyvenimui, tenkina jo poreikius;• matuoja dirvos drėgmę ir temperatūrą, vidaus vandens lygį ir temperatūrą, surenka informaciją apie pavojingus hidrologinius reiškinius;• sudaro hidrologines prognozes apie vidaus vandenų būklę, užterštumą, potvynių galimybę, ledų sangrūdas, ledonešį ir kitas galimas grėsmes;• pateikia hidrologines prognozes gyventojams ir gelbėjimo tarnyboms, atlieka kitas su hidrologija susijusias užduotis.","• stebėti vandens savybes, dėsnius ir reiškinius;• įvertinti vandens cirkuliacijos poveikį žmogaus gyvenimui;• matuoti dirvos drėgmę ir temperatūrą;• sudaryti hidrologines prognozes;• pateikti hidrologines prognozes gyventojams."
311204,"Topografijos technikas","Specializuojasi topografinių duomenų rinkimo ir analizės srityje. Atsako už matavimus, žemėlapių kūrimą ir geografinės informacijos, reikalingos planavimo, statybos ar kitiems projektams, rinkimą.","naudoja specializuotas priemones ir technologijas teritorijos matavimams; renka topografinius duomenis, įskaitant reljefo, žemės naudojimo ir geodezinius matavimus; kuria žemėlapius ir planus, naudoja surinktus duomenis ir geografinės informacinės sistemos (GIS) technologijas; bendradarbiauja su inžinieriais, architektais ir kitomis suinteresuotosiomis šalimis, užtikrina tikslų duomenų rinkimą; atnaujina ir palaiko esamų žemėlapių topografinius duomenis.","skaičiuoti matavimo paklaidas ir koreguoti rezultatus; suprasti GIS principus ir naudotis GIS programomis, surinkti, analizuoti ir vizualizuoti geografinius duomenis; parengti matavimo planus, teritorijos analizę ir matavimų sekos planavimą; analizuoti surinktus matavimo duomenis, identifikuoti anomalijas ir nustatyti tikslesnius rezultatus; bendrauti su klientais, projektų vadovais ir kitomis suinteresuotosiomis šalimis."
311205,"Geotechnikos technikas","Vertina gruntų savybes, pagrindo stiprumą, projektuoja sekliuosius polinius pamatus, atramines sienas, inkarus ir kitas geotechnines konstrukcijas. Prižiūri mėginių surinkimą ir matavimų atlikimą, taiko geotechninio tyrimo metodus ir būdus, modeliuoja mechanines storymės savybes ir prisideda prie modelio kūrimo.","• išmano geotechninius procesus, technologijas, medžiagas ir gaminius;• įvardija geotechnines problemas, įvertina projektavimui reikalingus geotechninius parametrus;• testuoja gruntą ir uolienas, nustato grunto ir uolienų pagrindines fizikines-mechanines savybes, taiko projektavimo metodus geotechninėms problemoms spręsti;• kuria ir taiko geotechninių tyrimų ir bandymų metodus, projektuoja įvairias geotechnines konstrukcijas;• eksploatuoja ir prižiūri geotechnines konstrukcijas.","• išmanyti geotechninius procesus;• įvardyti geotechnines problemas;• testuoti gruntą ir uolienas;• projektuoti įvairias geotechnines konstrukcijas;• prižiūrėti geotechnines konstrukcijas."
311206,"Pastatų saugos sistemų technikas","Stebi statybvietes ir jų atitiktį sveikatos ir darbo saugos reikalavimams. Atlieka patikras, nustato pavojus saugai ir rengia ataskaitas, kuriose pateikia savo išvadas.","• atlieka saugumo patikras svarbiose srityse, nustato galimus pavojus arba saugumo pažeidimus ir apie juos praneša, imasi saugumo priemonių;• atlieka tyrimą, teikia susijusias rekomendacijas, užtikrina ir atsižvelgia į rekomendacijas ir prireikus imasi veiksmų;• taiko atitinkamas sveikatos ir darbo saugos reikalavimų laikymosi procedūras, atlieka statybos darbus, išvengia nelaimingų atsitikimų, taršos ir kitų pavojų;• atrenka statybinių medžiagų partijos pavyzdžius, patikrina jų kokybę vizualiai ir atlieka įvairius bandymus, įvertina jų atitinkamas ypatybes;• apžvelgia statybvietę, išsiaiškina, kas yra statybvietėje ir kokį statybų etapą įgyvendina kiekviena komanda.","• atlikti patikras;• konsultuoti saugos didinimo klausimais;• laikytis sveikatos ir darbo saugos reikalavimų atliekant statybos darbus;• patikrinti statybinių medžiagų pavyzdžius;• stebėti statybvietę."
311207,"Valstybinės priešgaisrinės priežiūros inspekcijos inspektorius","Atlieka pastatų ir nekilnojamojo turto patikras, užtikrina priešgaisrinės apsaugos ir saugos taisyklių atitiktį, užtikrina jų įgyvendinimą. Vykdo švietimo veiklą, informuoja visuomenę apie priešgaisrinės saugos ir prevencijos metodus, politiką ir reagavimą į nelaimes.","• atlieka patikras pastatuose ir aikštelėse, įvertina jų gaisrinės saugos ir saugos įrangą, evakuacijos ir susijusias strategijas, užtikrina saugos taisyklių laikymąsi;• nustato ir įvertina veiksnius, kurie gali pakenkti projekto sėkmei ar kelia grėsmę organizacijos veikimui, įgyvendina procedūras, kuriomis būtų išvengta jų poveikio;• konsultuoja prevencinių veiksmų klausimais, ištaiso bet kokius teisės aktų nuostatų pažeidimus ir neatitiktį;• stebi saugius avarinės evakuacijos planus;• parengia ir vykdo švietimo ir skatinamuosius planus, suteikia priešgaisrinės saugos žinių ir informuoja visuomenę apie metodus, priešgaisrinę saugą, gebėjimą atpažinti pavojus ir naudoti priešgaisrinės saugos įrangą.","• atlikti priešgaisrinės saugos patikras;• atlikti rizikos analizę;• konsultuoti su taisyklių pažeidimu susijusiais klausimais;• sudaryti avarinės evakuacijos planus;• mokyti visuomenę apie priešgaisrinę saugą."
311208,"Pastatų priežiūros tarnybos technikas","Tiria įmonių, susijusių su pastatų priežiūros tarnybos prižiūrimais pastatais, veiklą, atlieka technines užduotis, susijusias su statybos tiriamuoju darbu, pastatų ir kitų statinių projektavimu, eksploatacija, technine priežiūra ir remontu.","• tikrina įmonių veiklą, aptarnauja pastatų priežiūros tarnybos prižiūrimus pastatus;• kontroliuoja remontą, renovaciją pastatų priežiūros tarnybos prižiūrimuose pastatuose, remontuojamuose pagal statinio projektą, statybos rangos sutartį, įstatymų, kitų teisės aktų, taip pat normatyvinių statybos techninių dokumentų, normatyvinių statinio saugos ir paskirties dokumentų reikalavimus;• kontroliuoja, kaip laikomasi potencialiai pavojingų įrenginių techninės būklės tikrinimo, darbo saugos pastato teritorijoje užtikrinimo tvarkos;• konsultuoja įmones, pastatų gyventojus, savininkus;• pateikia tyrimo išvadas.","• tikrinti įmonių veiklą;• kontroliuoti renovaciją;• kontroliuoti potencialiai pavojingų įrenginių techninės būklės tikrinimą;• konsultuoti įmones;• pateikti tyrimo išvadas."
311290,"Kiti statybos inžinerijos technikai","Kiti statybos inžinerijos technikai, kurie nėra išvardyti 3112 pogrupyje „Statybos inžinerijos technikai“ ir kurie atlieka technines užduotis, susijusias su statybos tiriamuoju darbu, pastatų ir kitų tokių statinių, kaip vandentiekio ir kanalizacijos sistemos, tiltai, keliai, užtvankos ir oro uostai, projektavimu, statyba ir tiesyba, eksploatavimu, technine priežiūra ir remontu.","• tiria gruntą ir statybines medžiagas statybvietėje ar laboratorijoje ir atlieka šiuos darbus; • žvalgo statybvietes, teikia techninę pagalbą, susijusią su pastatų ir kitų statinių statyba, rengia žvalgymo ataskaitas;• užtikrina, kad būtų laikomasi projekto techninių sąlygų aprašo, susijusio su teisės aktų ir reglamentuojamųjų dokumentų atitiktimi, laikosi nurodytų medžiagų ir darbo standartų;• taiko pastatų ir civilinės statybos techninius principus ir praktines žinias, nustato ir sprendžia darbe kylančias problemas;• skaičiuoja projektui reikiamų medžiagų kiekio ir išlaidų bei darbo sąnaudų sąmatas pagal pateiktą techninių sąlygų aprašą.","• tirti gruntą ir statybines medžiagas;• žvalgyti statybvietes;• užtikrinti, kad būtų laikomasi projekto techninių sąlygų aprašo;• spręsti darbe kylančias problemas;• skaičiuoti projektui reikiamų medžiagų kiekį."
311301,"Elektrotechninės įrangos vertintojas","Atlieka išsamų medžiagų kiekio ir išlaidų bei darbo sąnaudų, kurių reikia gamybai ir instaliacijai, apskaičiavimą, rengia sąmatas pagal pateiktą techninių sąlygų aprašą. Atlieka elektrotechninės įrangos vertinimą pagal pateiktas specifikacijas.","• išnagrinėja pardavimo ataskaitas, mato, kokios prekės ir paslaugos buvo ar nebuvo parduotos;• nustato pastato ar įrenginio energijos tiekimo tipą ir kiekį; • nurodo produktų, kuriuos pirkėjai įsigyja, kainas ir pateikia dokumentus;• derisi dėl sutarties sąlygų, išlaidų ir kitų specifikacijų, užtikrina, kad jos atitiktų teisinius reikalavimus ir būtų teisiškai įgyvendinamos, prižiūri vykdomas sutartis, susitaria dėl bet kokių pakeitimų ir juos patvirtina dokumentais, laikosi teisinių apribojimų;• įvertina klientų asmenines aplinkybes, poreikius ir pageidavimus.","• atlikti pardavimo analizę;• nustatyti energijos poreikius;• atsakyti į prašymus nurodyti kainą;• tvarkyti sutartis;• vertinti klientus."
311302,Elektrotechnikas,"Atlieka techninį elektros sistemų ir įrenginių projektavimą, juos montuoja, įrengia, eksploatuoja ir atlieka bandymus ir skaičiavimus, derina aparatūrą, registruoja stebėjimų rezultatus elektros energijos generavimo ir paskirstymo įrangos, pramonės, buities ir kitokių elektros prietaisų kūrimo ir tobulinimo srityje.","• montuoja elektros įrangą ir įrengia valdymo sistemas, išbando, perduoda naudoti, vykdo techninę priežiūrą ir taiso;• teikia techninę pagalbą, atlieka darbus, susijusius su elektros įrangos ar aparatūros bei bandomųjų pavyzdžių tyrimu ir tobulinimu;• projektuoja elektros instaliaciją ir grandines bei parengia eskizus pagal pateiktas specifikacijas;• apskaičiuoja išsamias medžiagų kiekio ir išlaidų bei darbo sąnaudas pagal pateiktas specifikacijas;• prižiūri technines elektros sistemas ir įrenginių gamybą, užtikrina jų tinkamą veikimą bei atitiktį specifikacijoms ir nurodymams.","• montuoti elektros įrangą;• teikti techninę pagalbą;• projektuoti elektros instaliaciją;• apskaičiuoti medžiagų kiekį;• prižiūrėti technines elektros sistemas."
311303,"Elektros sistemų technikas","Specializuojasi įvairių elektros sistemų įrengimo, eksploatavimo, techninės priežiūros ir remonto srityse, atlieka elektros inžinerijos srities tyrimus, projektuoja, gamina ir eksploatuoja elektrinius prietaisus ir įrenginius.","• dėvi atitinkamą ir būtiną apsauginę aprangą, apsauginius akinius, šalmus, apsaugines pirštines;• laikosi taisyklių, kuriomis draudžiami sunkieji metalai lydmetaliuose, laikosi Europos Sąjungos pavojingų medžiagų naudojimo apribojimo direktyvų bei elektros ir elektroninės įrangos ribojimo teisės aktų;• išbando elektros sistemas, mašinas ir sudedamąsias dalis, patikrina įtampą, srovę, varžą, talpą, naudoja elektros testavimo ir matavimo įrangą, renka ir analizuoja duomenis, stebi ir vertina sistemos veikimą;• pritaiko produktų ar jų dalių dizainą taip, kad jie atitiktų reikalavimus;• skaito ir supranta standartinius projektus, mašinų ir procesų brėžinius.","• dėvėti tinkamą apsauginę aprangą;• laikytis draudžiamoms medžiagoms taikomų taisyklių;• išbandyti elektros įrangą;• pakoreguoti inžinerinius projektus;• suprasti standartinius projektus."
311304,"Elektros energetikos technikas","Tiria ir analizuoja energijos išteklių rinką, apibendrina tyrimų rezultatus ir rengia pasiūlymus, bendrauja su klientais, organizuoja atsiskaitomybę pirkėjams ir tiekėjams. Analizuoja elektros energijos įrenginių parametrus, diegia naujas technologijas, dėvi specialius drabužius, laikosi darbo saugos taisyklių.","• analizuoja ir parenka konstrukcinius elektros energijos šaltinius ir tinklų sprendinius; • sudaro projektuojamojo objekto įvairios paskirties elektrinių schemas, parenka reikiamą įrangą;• apskaičiuoja įvairios paskirties elektros įrenginių darbo režimus ir rengia projektuojamų elektros sistemų projektinę dokumentaciją;• užtikrina darbų saugos reikalavimus, atlieka montavimo ir paleidimo derinimo darbus, pripažįsta sumontuotų elektros įrenginių tinkamumą naudoti;• valdo elektros energijos gamybą, perdavimą, skirstomųjų įrenginių, priežiūrą bei remontą, tikrina elektros įrenginių techninę būklę, nustato gedimus ir juos šalina.","• parinkti konstrukcinius elektros energijos šaltinius;• parinkti reikiamą įrangą;• rengti projektinę dokumentaciją;• užtikrinti atitiktį darbų saugos reikalavimams;• nustatyti gedimus ir juos šalinti."
311305,"Elektrinių gaminių kokybės inspektorius","Tikrina elektrinius įtaisus, užtikrina jų atitiktį standartų reikalavimams, tikrina įrangą ir jos dalis pagal techninių sąlygų ir reikalavimų aprašus, prijungia gaminį prie elektros energijos šaltinio ir matuoklio, stebi atskirus komponentus, jų sąryšį ir kokybę. Išima pažeistas dalis, registruoja gautus duomenis inspektoriaus knygoje. Inspektuoja mechaninės įrangos veikimą, atskirus komponentus įvairiose gamybos stadijose.","• tikrina pateiktų elektrinių gaminių kokybę pagal techninės dokumentacijos reikalavimus;• skaito techninių elektrinių gaminių brėžinius;• rengia ir pasirašo matavimų protokolus;• teikia rekomendacijas dėl kokybės standartų laikymosi;• kaupia, sistemina, analizuoja ir perduoda užsakovui informaciją apie elektrinius gaminius ir jų kokybės parametrus.","• tikrinti pateiktų elektrinių gaminių kokybę;• skaityti techninių gaminių brėžinius;• rengti matavimų protokolus;• teikti rekomendacijas dėl kokybės;• perduoti informaciją apie kokybės parametrus."
311306,"Elektromechanikos inžinerijos technikas","Kuria elektromechaninius įrenginius. Atsako už elektromechaninės įrangos, grandinių ir sistemų sudarymą, įrengimą, bandymą, stebėjimą ir techninę priežiūrą. Atlieka bandymus, naudoja tokius bandymo prietaisus, kaip osciloskopai ir voltmetrai.","• interpretuoja ir analizuoja per bandymus gautus duomenis, suformuluoja išvadas, naujas įžvalgas ar sprendimus;• nustato su veikla susijusias problemas, apie jas praneša ir jas sprendžia;• skaito gaminio techninius brėžinius, pasiūlo patobulinimus, pagamina gaminio modelius arba juos naudoja;• pritaiko produktų ar jų dalių dizainą taip, kad jie atitiktų reikalavimus;• bendradarbiauja su inžinieriais, užtikrina savitarpio supratimą ir aptaria produktų projektavimą, plėtrą ir tobulinimą.","• analizuoti bandymų duomenis;• lokalizuoti gedimą;• skaityti inžinerinius brėžinius;• pakoreguoti inžinerinius projektus;• palaikyti ryšius su inžinieriais."
311390,"Kiti elektros inžinerijos technikai","Kiti elektros inžinerijos technikai, kurie nėra išvardyti 3113 pogrupyje „Elektros inžinerijos technikai“ ir kurie atlieka technines užduotis, susijusias su tiriamuoju elektrotechnikos darbu, taip pat su elektros įrenginių, prietaisų ir skirstomųjų sistemų projektavimu, gamyba, surinkimu, statyba, eksploatavimu, naudojimu, technine priežiūra ir remontu.","• atlieka darbus, susijusius su elektros įrangos ir įtaisų ar bandomųjų pavyzdžių tyrimu ir tobulinimu;• projektuoja elektros instaliaciją ir grandines, rengia brėžinius pagal pateiktą techninių sąlygų aprašą;• rengia medžiagų kiekio ir išlaidų bei darbo sąnaudų sąmatas pagal pateiktą techninių sąlygų aprašą;• kontroliuoja techninę elektros sistemų ir įrenginių gamybos priežiūrą ir remontą, užtikrina jų tinkamą veikimą ir techninių sąlygų aprašo dokumentų atitiktį;• surenka ir bando elektros įrenginius ir instaliacijas, remontuoja, laikosi reglamentuojamųjų dokumentų ir saugos reikalavimų.","• tirti bandomuosius pavyzdžius;• projektuoti elektros instaliaciją;• rengti medžiagų kiekio ir išlaidų sąmatas;• kontroliuoti techninę elektros sistemų priežiūrą.• bandyti elektros įrenginius."
311401,"Elektroninės įrangos vertintojas","Atlieka išsamų medžiagų kiekio ir išlaidų bei darbo sąnaudų, kurių reikia gamybai ir instaliacijai, apskaičiavimą, rengia sąmatas pagal pateiktą techninių sąlygų aprašą. Atlieka elektroninės įrangos vertinimą pagal pateiktas specifikacijas.","• registruoja įvykį, apžiūri sugadintą elektroninę įrangą, įvertina turto vertę, būklę, dydį, remonto, atkūrimo sąnaudas;• fiksuoja turtui padarytą žalą, surašo apžiūros aktą;• tiria įvykį, nulėmusį žalos (nuostolių) elektroninei įrangai atsiradimą;• įvertina elektroninei įrangai padarytą žalą (nuostolius), apskaičiuoja jų dydį, draudimo sumą;• sudaro elektroninės įrangos remonto, atkūrimo darbų sąmatą, parengia dokumentus, patvirtinančius nuostolių dydį.","• apžiūrėti sugadintą elektroninę įrangą;• fiksuoti turtui padarytą žalą;• tirti įvykį;• įvertinti elektroninei įrangai padarytą žalą;• sudaryti atkūrimo darbų sąmatą."
311402,"Elektroninės įrangos technikas","Atlieka daugelį pagalbinių funkcijų, taiso, tikrina, įrengia, projektuoja, vertina, prižiūri sudėtingą gamybos ar eksperimentinę elektroninę įrangą, parengia įrenginius ir aparatus eksperimentams, atlieka tyrimus, registruoja matuoklių rodmenis, atlieka skaičiavimus ir registruoja, analizuoja ir aiškina gautus tyrimų rezultatus.","• rengia medžiagų ir darbo sąnaudų sąmatas, skirtas elektroninės įrangos gamybai ir įrengimui;• bando sistemas, nustato jų atitiktį techniniams reikalavimams ir saugumo normoms, teikia rekomendacijas dėl kokybės standartų laikymosi;• projektuoja, vertina ir taiso elektroninę įrangą, tikrina įrenginius, jų pakeitimą ir paleidimą;• atlieka inžinerinių sistemų ir konstrukcijų bandymus, rengia technines ataskaitas;• teikia pagalbą inžinieriams projektuojant, planuojant ir vykdant darbų grafikus.","• rengti medžiagų ir darbo sąnaudų sąmatas;• nustatyti atitiktį techniniams reikalavimams;• tikrinti įrenginius;• atlikti inžinerinių sistemų ir konstrukcijų bandymus;• teikti pagalbą inžinieriams."
311403,"Matavimo aparatūros technikas","Atlieka techninę priežiūrą ir kontrolę, teikia techninę pagalbą matavimo aparatūros gamybos srityje dirbantiems darbuotojams, , atliekantiems įrengimo, remonto ir techninės priežiūros darbus, tikrina ir išbando sistemas bei nustato jų atitiktį techniniams reikalavimams ir saugos normoms.","• atlieka bandymus, sukuria sistemą, mašinas, įrankius, įvertina jų patikimumą ir tinkamumą vykdyti užduotis, pritaiko nustatymus;• matuoja įtampą, srovę, varžą arba kitas elektrines savybes, naudoja elektros matavimo įrangą;• naudoja matavimo prietaisus pagamintų objektų dalims matuoti, atlieka matavimus;• surenka ir sujungia įvairius matavimo įrangos komponentus, grandynų plokštes, valdymo įtaisus ir kameras, sukuria tikslias priemones, kuriomis išmatuoja, perduoda, nurodo, įrašo ir valdo;• registruoja ankstesnių bandymų metu nustatytus duomenis, patikrina gaunamus konkrečius rezultatus.","• atlikti bandomuosius veikimo testus;• matuoti elektrines savybes;• matuoti pagamintų objektų dalis;• surinkti matavimo įrangą;• registruoti testavimo duomenis."
311404,"Puslaidininkinių įtaisų technikas","Atlieka technines užduotis, susijusias su tiriamuoju elektronikos darbu ir elektroninės įrangos projektavimu, gamyba, surinkimu, įrengimu, naudojimu, technine priežiūra ir remontu, įrengtų įrenginių saugos ir valdymo patikra arba naujų elektroninių sistemų ir įrenginių pradiniu paleidimu.","• atspausdina suprojektuotus elektroninius grandynus, įgyvendina fotolitografijos procesą;• naudoja matavimo prietaisus, matuoja pagamintų objektų dalis, atsižvelgia į gamintojų specifikacijas, atlieka matavimus;• pašalina iš gamybos linijos medžiagas su defektais;• supranta ir aiškina schemas, kuriose išvardytos visos produkto dalys ir surenkamieji mazgai, brėžinyje nurodomi įvairūs komponentai ir pateikiami nurodymai, kaip surinkti produktą;• tikrina naudotų medžiagų kokybę, patikrina puslaidininkių kristalų grynumą ir molekulinę orientaciją, naudoja plokšteles paviršiaus defektams tikrinti su elektronine bandymų įranga.","• ant plokščių atspausdinti suprojektuotus grandynus;• matuoti pagamintų objektų dalis;• pašalinti defektų turinčius produktus;• suprasti įrangos surinkimo schemas;• tikrinti puslaidininkių komponentus."
311405,"Elektronikos inžinerijos technikas","Prižiūri gamybos įrenginių profilaktiką, remontą ir integruoja naują įrangą į esamas gamybos linijas. Analizuoja įrenginių gedimus ir numato priemones jų profilaktikai, atsako už elektroninių prietaisų kūrimą, bandymus ir priežiūrą.","• atlieka su modeliais, prototipais ar sistemomis ir pačia įranga susijusius bandymus bei aplinkosauginius ir eksploatacinius bandymus, išbando stiprumą ir pajėgumus įprastomis ir ekstremaliomis sąlygomis;• užtikrina, kad elektroninė įranga būtų parengta tinkamai;• registruoja duomenis, nustatytus ankstesnių bandymų metu, patikrina bandymo rezultatus;• sujungia įvairias elektronines ir kompiuterines dalis į elektroninį gaminį ar prietaisą;• analizuoja ir supranta išsamias elektroninio dizaino specifikacijas.","• atlikti įrangos veikimo bandymus;• konfigūruoti elektroninę įrangą;• registruoti testavimo duomenis;• sujungti elektroninius blokus;• suprasti elektroninio dizaino specifikacijas."
311406,"Elektroninių gaminių kokybės inspektorius","Tikrina elektroninius įtaisus, užtikrina jų atitiktį standartų reikalavimams. Tikrina įrangą ir jos dalis, prijungia gaminį prie elektros energijos šaltinio ir matuoklio, stebi atskirus komponentus, jų sąryšį ir kokybę. Išima pažeistas dalis, gautus duomenis registruoja, inspektuoja elektroninės įrangos veikimą, atskirus komponentus įvairiose gamybos stadijose.","• tikrina žaliavų, skirtų elektroninių gaminių gamybai, kokybę;• tikrina pagamintus elektroninius gaminius ar jų dalis ir atitiktį gamintojo specifikacijoms ir standartams;• rengia išvadas ir pasirašo matavimų protokolus dėl elektroninių gaminių kokybės; • teikia rekomendacijas gamintojui dėl kokybės standartų laikymosi; • kaupia informaciją apie elektroninius gaminius ir jų kokybės parametrus, ją sistemina, analizuoja ir perduoda užsakovui.","• tikrinti žaliavų kokybę;• tikrinti pagamintus elektroninius gaminius;• rengti išvadas;• teikti rekomendacijas;• kaupti informaciją."
311490,"Kiti elektronikos inžinerijos technikai","Kiti elektronikos inžinerijos technikai, kurie nėra išvardyti 3114 pogrupyje „Elektronikos inžinerijos technikai“ ir kurie atlieka technines užduotis, susijusias su tiriamuoju elektronikos darbu ir elektroninės įrangos projektavimu, gamyba, surinkimu, įrengimu, naudojimu, technine priežiūra ir remontu.","• atlieka darbus, susijusius su elektroninės įrangos ar bandomųjų pavyzdžių tyrimu ir tobulinimu;• projektuoja elektroninių grandinių montavimo schemas ir rengia jų brėžinius pagal pateiktą techninių sąlygų aprašą;• rengia medžiagų kiekio ir išlaidų bei darbo sąnaudų, kurių reikia elektroninei įrangai pagaminti ir įrengti, sąmatas pagal pateiktą techninių sąlygų aprašą;• kontroliuoja techninę elektroninės įrangos gamybą, techninę priežiūrą ir remontą ir techninių sąlygų aprašo bei reglamentuojamųjų dokumentų atitiktį;• projektuoja, tobulina, įrengia, valdo ir prižiūri elektronines sistemas.","• atlikti tobulinimo darbus; • projektuoti elektroninių grandinių montavimo schemas;• rengti sąmatas pagal pateiktą techninių sąlygų aprašą;• kontroliuoti techninę elektroninės įrangos gamybą;• prižiūrėti elektronines sistemas."
311501,"Mechanikos inžinerijos vertintojas","Atlieka išsamų medžiagų kiekio ir išlaidų bei darbo sąnaudų, kurių reikia gamybai ir įrengimui paskaičiavimą, rengia sąmatas pagal pateiktą techninių sąlygų aprašą. Atlieka mechaninės įrangos vertinimą pagal pateiktas specifikacijas, užtikrina jos veikimo efektyvumą ir saugumą.","• vertina, analizuoja ir diagnozuoja mašinų ir mechaninių sistemų būklę;• nustato veikimo parametrus, spartą, galią, sukimosi momentą, trintį, vibraciją, triukšmą;• taiko techninius reikalavimus ir standartus;• nustato defektus ir pateikia rekomendacijas remontui;• parengia ataskaitas ir teikia rekomendacijas vadovybei dėl veikimo efektyvumo ir saugumo.","• atlikti analitinius matematinius skaičiavimus• lokalizuoti gedimą• pakoreguoti inžinerinius projektus• palaikyti ryšius su inžinieriais• skaityti inžinerinius brėžinius"
